id,name,slug,category,retail_price,bulk_price,bulk_min_qty,has_thumbnail,variant_group_id,variant_label
0823cb0f-f4f9-4c0f-9d91-c23ce36456ff,3 BAR CERAMIC ELECTRIC HEATER - DGM-QHR15,3-bar-ceramic-electric-heater-dgm-qhr15,Accessories,399.0,,,yes,,
3457a8a5-5805-435a-a778-0de1316f6ae4,350ml Xiaoxushan LED humidifier - JSQ04 (DARK BROWN),350ml-xiaoxushan-led-humidifier-jsq04-dark-brown,Accessories,400.0,,,yes,,
9451b976-fed6-48e4-9ade-f13f5505743a,"I16 Pro Mini Mobile Phone, Dual SIM, Triple Camera, Black",i16-pro-mini-mobile-phone-dual-sim-triple-camera-black,CCTV,499.0,,,yes,,
a55c28b2-2cc8-4674-a6d1-5af7f81e12b3,8 x Grill Clip-On Emergency Strobe Warning Lights – Yellow,8-x-grill-clip-on-emergency-strobe-warning-lights-yellow,Accessories,390.0,,,yes,,
0cb9f647-4d38-46ba-b791-7ada899fe0cd,10 BAR 5-SIDED CERAMIC ELECTRIC HEATER - QHS10,10-bar-5-sided-ceramic-electric-heater-qhs10,Accessories,599.0,,,yes,,
31a4de78-7888-41c0-97da-ec89d8f1e832,10'' RGB LED SOFT RING LIGHT WITH TRIPOD STAND & PHONE HOLDER - WITH 40 COLOR CHANGING SCHEME,10-rgb-led-soft-ring-light-with-tripod-stand-phone-holder-with-40-color-changing,Accessories,399.0,,,yes,,
0739dd0f-5bd9-456b-bf93-b545a0f605e7,HUMAN BODY INDUCTION + LIGHT OPERATED SOLAR SENSOR LIGHT - SET OF 2,human-body-induction-light-operated-solar-sensor-light-set-of-2,Solar,399.0,,,yes,,
eb6df9d1-6caa-4d10-be96-9d2ec733fb2c,10W SOLAR WIRELESS RECGARGEABLE SPEAKER WITH TORCH - HF-F81,10w-solar-wireless-recgargeable-speaker-with-torch-hf-f81,Solar,599.0,,,yes,,
2793f255-4e10-4e36-ba95-d089e1d39608,C15-42-36 Kitchen Scissors 024,c15-42-36-kitchen-scissors-024,Kitchen,16.0,8.0,240,yes,,
974ce93a-32d3-4672-b8f7-2c4be2fc6a2c,"Solar LED Outdoor Lantern with Motion Sensor, Black",solar-led-outdoor-lantern-with-motion-sensor-black,Solar,289.0,,,yes,,
de6feaf2-85fd-4b57-9456-f130f18da662,"LED Strip Light, 12V 5A Power Supply, 8mm Wide, 5M Length, Yellow",led-strip-light-12v-5a-power-supply-8mm-wide-5m-length-yellow,Accessories,199.0,,,yes,,
36dbfad9-3510-4fb3-999c-05b0c16bc9ee,"Portable Bluetooth Speaker with LED Lights, FM Radio, Wireless Audio - HF-F3",portable-bluetooth-speaker-with-led-lights-fm-radio-wireless-audio-hf-f3,Accessories,499.0,,,yes,,
f76b4689-dd57-4bb7-9275-d6af6a6df67f,PROFESSIONAL HAIRCUTTING TRIMMER KIT WITH LCD DISPLAY AND TYPE-C CHARGING (BLACK),professional-haircutting-trimmer-kit-with-lcd-display-and-type-c-charging-black,Accessories,370.0,,,yes,11111111-0013-0013-0013-000000000013,Black
502ee371-099e-400a-8674-e3f551410b6d,"3-in-1 Car Charger with LED Display, USB Type-C and Lightning Compatible Cables, 24W Fast Charging, Digital Voltage Monitor, Black",3-in-1-car-charger-with-led-display-usb-type-c-and-lightning-compatible-cables-2,Chargers,259.0,,,yes,,
3b3b5a2f-4f51-4652-b394-589cf519a350,Garden Wall Mounted Solar Motion Sensor LED Lights Set of 4,garden-wall-mounted-solar-motion-sensor-led-lights-set-of-4,Solar,299.0,,,yes,,
deecb1af-7256-44c5-a022-66e8f68db7a6,C16-40-97 46-Piece Socket Tool Set,c16-40-97-46-piece-socket-tool-set,Tools,92.0,46.0,24,yes,,
f89a07d3-8a25-4cfc-9c89-94d5921c0838,DALING Professional Style Hair Clippers DL-1538A,daling-professional-style-hair-clippers-dl-1538a,Accessories,485.0,,,yes,,
97d716cf-042e-4d05-86ce-9fd1fd6115ab,WIRE FERRULE CRIMPING TOOL KIT FERRULE CRIMPER PLIER,wire-ferrule-crimping-tool-kit-ferrule-crimper-plier,Accessories,499.0,,,yes,,
26894433-b8b5-40bd-bd08-c8077877fa3d,C16-43-19 Flower Basketball,c16-43-19-flower-basketball,Accessories,60.0,30.0,80,yes,,
46309ee8-35f0-40a3-96f4-03d3e388bbb9,Tools Set 46pcs 1/4-Inch Socket Set Car Vehicle Repair Set,tools-set-46pcs-14-inch-socket-set-car-vehicle-repair-set,Accessories,239.0,,,yes,,
e1f59b7a-3191-4a76-9ccd-ea0bde8f6743,"CC Lamp Small Solar Panel Charger Portable USB Solar Panel, 6V 3.8W, for Camping Hiking Outdoor Activities",cc-lamp-small-solar-panel-charger-portable-usb-solar-panel-6v-38w-for-camping-hi,Chargers,239.0,,,yes,,
38e4bc53-3e2f-46b5-a569-6c888a7d4bea,"4'' Stainless Steel Door Bolt Latch, Silver, for Wooden Doors, Cabinets and Desks, Sliding Barrel Lock with Strike Plate",4-stainless-steel-door-bolt-latch-silver-for-wooden-doors-cabinets-and-desks-sli,Accessories,45.0,,,yes,,
47dc8d91-f37e-4487-b07b-a0cc877fdd76,30W GD PLUS Solar Lighting System with 3 Light Bulbs - GD-8017,30w-gd-plus-solar-lighting-system-with-3-light-bulbs-gd-8017,Solar,400.0,,,yes,,
64d7bfbe-227e-4e82-80aa-0f41d5c32cd2,"Portable Power Bank with LED Display, Dual USB Ports, 20000mAh Capacity, White - KP-77",portable-power-bank-with-led-display-dual-usb-ports-20000mah-capacity-white-kp-7,Chargers,699.0,,,yes,,
370835cf-bd6d-4d3f-8bae-596df4f04eeb,"CJ Solar Flood Light, 60W, IP67 Waterproof, with Remote Control, Time Switch, Light Control, Large Capacity Battery",cj-solar-flood-light-60w-ip67-waterproof-with-remote-control-time-switch-light-c,Solar,399.0,,,yes,,
e0959680-89c7-4839-ba96-4f978e12394f,"Digital Electric Fan Heater, White, Portable Room Heater with Thermostat Control, Dual Position - DGM-QHS11",digital-electric-fan-heater-white-portable-room-heater-with-thermostat-control-d,Accessories,289.0,,,yes,,
58542173-c8bf-48e9-9bf8-8c729ad715e7,"Cambrian Insulated Lunch Bag, Navy Blue with Brown Trim, Dual Zipper Closure, Adjustable Shoulder Strap",cambrian-insulated-lunch-bag-navy-blue-with-brown-trim-dual-zipper-closure-adjus,Accessories,449.0,,,yes,,
dd858515-9f49-4485-8287-b2d6ed0a1446,"Bamboo Back Scratcher with Massage Roller, Natural Wood, Long Handle, 4 Pack",bamboo-back-scratcher-with-massage-roller-natural-wood-long-handle-4-pack,Accessories,79.0,,,yes,,
0ed50ea5-2df5-4ee3-9618-4b866e50a17b,AROMA DIFFUSER 7 COLOR LED AROMA HUMIDIFIER,aroma-diffuser-7-color-led-aroma-humidifier,Accessories,353.0,,,yes,,
3bcd5615-d07e-43fc-98a6-63b2dc080dfb,C15-42-53 Plane Cutter 802611,c15-42-53-plane-cutter-802611,Kitchen,44.0,22.0,200,yes,,
